Customer,Type,Text,Summary,sim_score
Notion,Twitter,"User: If anyone wants to test out the new Arc browser I have FOUR invites codes to giveaway to a few of my followers.
To enter the #giveaway:
- Like + RT
- Follow @archwayHQ + @CryptoChem0000 - Tag one friend to receive invite too
Link 🔗: <STRICT_LINK> <STRICT_LINK>
User: @CryptoChem0000 @archwayHQ @browsercompany @GiveawayInspect @Pgm__x I want to try this out buddy @DizzleSocial what do you think?
User: @73lV_ @archwayHQ @browsercompany @GiveawayInspect @Pgm__x @DizzleSocial So far I’ve been enjoying it. Still getting used to it though
User: @CryptoChem0000 @archwayHQ @browsercompany @GiveawayInspect @Pgm__x @DizzleSocial Nice","User is excited about the new features in the Arc browser, including the ability to create a new tab and pin it to the top of the screen. They are also impressed with the new tab management features, including the ability to create a new tab and pin it to the top of the screen.",0.341742604970932
figma,Twitter,"User: A free course by @Figma to help you get started in design. It includes:
Lessons
Exercises
Practice files
<STRICT_LINK>","A user shared their daily tech stack for their freelance design business, which includes Todoist, Notion, Clockify, SumUp, Typefully, Miro, Figma, Slack, Gmail, and Google Calendar. Another user asked why they chose these apps and shared their own tech stack.",0.25247877836227417
Notion,Appstore/Playstore,"User: I thought I'd try it because they said it was easy to use
I can't even log in lol lol...",User finds the product difficult to use and struggles to log in.,0.6335203647613525
Notion,Twitter,"User: post your @arcinternet sidebar pins <STRICT_LINK>
User: @abhayance @arcinternet Nice.
Do spaces persist across profiles within the arc? Reading a comment complaining about this, stopped me from exploring this browser further.",User is frustrated with the lack of updates on the website and mentions that they have been waiting for a new version for a long time.,0.12278728187084198
Notion,Appstore/Playstore,"User: I love notion with all of my heart because what else am I supposed to use when I have to write a script, but it logged me out and I can’t go back in so now I’m crying. I HAD TWO YEARS WORTH OF SCRIPTS IN THERE. I HATE THISSS.","User loves Notion but is upset because it logged them out and they can't access their scripts, losing two years of work. They express their frustration.",0.7953266501426697
Notion,Appstore/Playstore,"User: Hello, they say that this application is indispensable, but I can't use it because it comes in English, please include the Spanish language. Greetings!!! Add the Spanish language please 🙏🏼","User requests the addition of Spanish language support for the application, as it is indispensable but only available in English.",0.8559393286705017
Notion,Twitter,"User: @browsercompany Fix Arc browser performance. Or make it super easy to learn what makes it so slow. I can barely use it anymore, now after a few months of getting used to it and getting ready to set it my default browser.",User is frustrated with the slow performance of the Arc browser and is considering switching to Chrome or Firefox.,0.8065569996833801
Notion,Twitter,"User: Got the much awaited @browsercompany Arc invite but sadly no mac to try on Awaiting the windows launch 🚀 Or Iam going hackintosh but if things go well mac mini m2 by EOY 😼 <STRICT_LINK>
User: @ayushmokal6 @browsercompany meko dede vro","User is excited about the new @browsercompany Arc invite and plans to try it on a Mac, but is waiting for the Windows launch.",0.8240014314651489
Notion,Twitter,"User: Less than 500 followers and looking for connections? Contact me, lets engage and support each other on our journey, also comment on this tweet with what you do and let everyone know! <STRICT_LINK>
User: @carltheauditor Hi Carl,
I'm a real estate investor, coach and mentor, based in the UK.
Love @NotionHQ and use it to run my business. I help people use Notion on my Youtube channel and am starting to build Notion templates too...
Great to connect!"," User is a teacher and uses Notion to create interactive lessons for their students, mentioning that it's a great tool for their students to use.",0.2664065659046173
figma,G2,"User: The ability to have a collaborative planning session or discovery session is the main reason I use the miro tool. It makes it easy for everyone to visually see the flow of data as well.
User: Miro makes complex discovery, planning, and process discussions into a simple, collaborative tool, allowing the full team to see and tell the same story. The use cases for Miro are endless whether you are in the Project, Product, or Engineering space, there are templates and activities at your fingertips aimed at collaboration.
User: Sometimes connecting shapes together is buggy and more difficult than it should be. I also wish there was a better way to connect Miro into powerpoint or another exported solution.","Users find Miro easy to use with helpful features for diagramming and appreciate its diverse templates that support various use cases, including project management and feedback gathering. However, they mention the lack of integration with other services like Notion and the absence of screen reading capabilities for visual accessibility, which prevents their organization from adopting it more widely.",0.6799471378326416
